age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31, Private,117730, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,10,0,39, United-States, >50K
35, Private,129774, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,-14,0,39, United-States, >50K
41, Private,444838, Assoc-voc,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,3992,0,49, United-States, >50K
26, Private,214243, Masters,13, Never-married, Prof-specialty, Not-in-family, White, Male,29,-1,49, Cuba, <=50K
35, Private,223756, Masters,13, Never-married, Prof-specialty, Not-in-family, White, Female,25,0,45, Cuba, <=50K
20, Private,211694, 11th,7, Never-married, Armed-Forces, Own-child, White, Male,-2,1,40, United-States, <=50K
24, ?,104430, Some-college,10, Married-spouse-absent, ?, Unmarried, White, Female,18,0,32, United-States, <=50K
40, Private,165812, Masters,14, Never-married, Sales, Not-in-family, White, Female,21,0,44, Cuba, >50K
21, Private,275638, Masters,13, Never-married, Prof-specialty, Not-in-family, White, Female,32,0,56, Cuba, <=50K
52, Private,174706, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, Black, Male,1,0,49, United-States, >50K
43, Private,156591, Assoc-voc,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,-20,0,58, United-States, >50K
91, Private,201812, 7th-8th,4, Widowed, Prof-specialty, Not-in-family, White, Female,13,0,8, United-States, <=50K
30, Private,226668, Assoc-acdm,11, Never-married, Adm-clerical, Own-child, White, Female,3,0,50, United-States, <=50K
23, Self-emp-inc,22701, Some-college,9, Separated, Adm-clerical, Own-child, White, Female,14,0,24, United-States, <=50K
33, Private,299579, HS-grad,8, Separated, Machine-op-inspct, Unmarried, White, Female,2,0,39, United-States, <=50K
23, Private,161297, 5th-6th,2, Married-spouse-absent, Other-service, Other-relative, White, Male,23,0,39, Mexico, <=50K
60, Private,166071, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,4,0,44, United-States, >50K
43, State-gov,178729, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,3,0,59, United-States, <=50K
58, Self-emp-not-inc,290546, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,34,0,12, Mexico, <=50K
48, State-gov,51236, Masters,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7601,0,50, United-States, <=50K
38, Private,182906, HS-grad,9, Separated, Other-service, Unmarried, White, Female,-10,0,40, United-States, <=50K
51, Federal-gov,172119, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,-3,0,39, United-States, <=50K
16, Private,208291, Some-college,10, Never-married, Sales, Own-child, White, Female,-14,-1,19, United-States, <=50K
37, Private,161648, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,29,0,39, United-States, <=50K
48, Local-gov,231741, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Black, Male,18,0,39, United-States, <=50K
